"Product","Number of Outputs ","Vin Min  (V)","Vin Max  (V)","Output Current  (A)","Output Voltage ","Features ","Packages ","RMS Noise  (µV)","PSRR  (dB) Typical","PSRR  (dB) Guaranteed"
"LT1764A","1","2.7","20","3","Adj, 1.8, 2.5, 3.3","Shutdown","DDPAK-5,TO-220,TSSOP-16","40","63",""
"LT1585-1.5","1","2.5","7","4.6","1.5","-","DDPAK-3,TO-220","","",""
"LT1585","1","2.35","7","4.6","Adj, 1.5, 3.3,3.38, 3.45, 3.6","-","DDPAK-3,TO-220","","",""
"LT1585A-1.5","1","2.5","7","5","1.5","-","DDPAK-3,TO-220","","",""
"LT3071","1","0.95","3","5","Adj","Digitally Programmable, Marginning, Separate Bias Pin, Power Good, Output Current Monitor","4x5 QFN-28","25","30",""
"LT1585A-3.3","1","4.3","7","5","3.3","-","TO-220","","",""
"LT3070","1","0.95","3","5","Adj","Digitally Programmable, Marginning, Separate Bias Pin, Power Good","4x5 QFN-28","25","72",""
"LT1585A","1","2.45","7","5","Adj, 1.5, 3.3","-","TO-220","","",""
"LT1084-Fixed","1","4.3","25","5","3.3, 3.6, 5, 12","-","TO-220","","72",""
"LT1084","1","2.55","30","5","Adj","-","TO-220","","75",""
"LT1584","1","2.5","7","7","Adj, 3.3, 3.38, 3.45, 3.6","-","TO-220","","",""
"LT1580","1","1.79","6","7","Adj, 2.5","-","DDPAK-5,DDPAK-7,TO-220","","",""
"LT1581","1","1.68","6","10","Adj, 2.5","-","TO-220","","",""
